Rank,Country,Median Age,Percent Urban,Fertility Rate,Net Migrants,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population,Net Change,Average Decade Change,Global Population (%)
179,Micronesia,24,21,3.1,-600,58989,76299,98603,111709,107588,112106,53117,10623,0.0014489244056769249
128,Moldova,38,43,1.3,-1387,3711140,4103240,4480199,4251573,3678186,3084847,-626293,-125259,0.039870391469495337
127,Mongolia,28,67,2.9,-852,1293880,1697780,2161433,2450979,2702520,3294335,2000455,400091,0.04257793857577375
158,Montenegro,39,68,1.8,-480,530268,589324,621442,633324,631044,629048,98780,19756,0.008130189281057732
40,Morocco,30,64,2.4,-51419,15274351,19678444,24570814,28554415,32464865,36688772,21414421,4282884,0.4741874401469699
48,Mozambique,18,38,4.9,-5000,8411676,11413587,13303459,17768505,23073723,31178239,22766563,4553313,0.40296604475343084
26,Myanmar,29,31,2.2,-163313,27284112,33465781,40099553,45538332,49390988,53423198,26139086,5227817,0.690473082720913
136,Namibia,22,55,3.4,-4806,754467,975994,1369011,1819141,2099271,2489098,1734631,346926,0.03217057820564129
49,Nepal,25,21,1.9,41710,12501285,15600442,19616530,24559500,27161567,29348627,16847342,3369468,0.3793190545859164
66,Netherlands,43,92,1.7,16000,13037686,14130387,14944548,15899135,16617116,17434557,4396871,879374,0.22533455068832597
172,New Caledonia,34,72,2.0,502,110982,148599,177264,221537,261426,286403,175421,35084,0.0037016421650856186
117,New Zealand,38,87,1.9,14881,2824061,3147168,3397389,3855266,4346338,5061133,2237072,447414,0.06541308336821287
103,Nicaragua,26,57,2.4,-21272,2444767,3303309,4227820,5123222,5855734,6755895,4311128,862226,0.08731719219034403
54,Niger,15,17,7.0,4000,4669708,6173177,8370647,11622665,16647543,24333639,19663931,3932786,0.31450237655461655
7,Nigeria,18,52,5.4,-60000,55569264,72951439,95214257,122851984,160952853,208327405,152758141,30551628,2.6925468884434465
52,North Korea,35,63,1.9,-5403,14996879,17973650,20799523,23367059,24686435,25867467,10870588,2174118,0.33432647895155
140,North Macedonia,39,59,1.5,-1000,1656783,1907023,2044174,2037936,2093828,2111072,454289,90858,0.027284746070158575
113,Norway,40,83,1.7,28000,3875546,4085776,4241636,4491202,4889741,5379839,1504293,300859,0.0695322286560268
119,Oman,31,87,2.9,87400,670693,1017462,1804524,2344253,2881914,4543399,3872706,774541,0.058721582215297434
5,Pakistan,23,35,3.6,-233379,59290872,80624057,115414069,154369924,194454498,227196741,167905869,33581174,2.936425373531829
121,Panama,30,68,2.5,11200,1516188,1956987,2449968,3001731,3623617,4294396,2778208,555642,0.05550331982267999
91,Papua New Guinea,22,13,3.6,-800,2489059,3104788,3864972,5508297,7583269,9749640,7260581,1452116,0.12601012740231543
105,Paraguay,26,62,2.4,-16556,2408787,3078912,4059195,5123819,5768613,6618695,4209908,841982,0.08554393805177095
44,Peru,31,79,2.3,99069,13562371,17492406,22109099,26654439,29229572,33304756,19742385,3948477,0.43045041116010735
13,Philippines,26,47,2.6,-67152,37435586,48419546,61558898,77958223,94636700,112190977,74755391,14951078,1.4500226988032625
38,Poland,42,60,1.4,-29395,32482943,35521429,38064255,38504431,38597353,38428366,5945423,1189085,0.4966709843156062
87,Portugal,46,66,1.3,-6000,8683631,9785252,10007346,10300626,10588401,10298192,1614561,322912,0.1330999386575818
133,Qatar,32,96,1.9,40000,118007,277450,441675,645937,1713504,2760385,2642378,528476,0.035676852225255545
60,Romania,43,55,1.6,-73999,19922618,22125224,22836234,21919876,20335211,19442038,-480580,-96116,0.2512804252608976
9,Russia,40,74,1.8,182456,130093010,138257420,148005704,146844839,143242599,145617329,15524319,3104864,1.8820446887551623
74,Rwanda,20,18,4.1,-9000,3896367,5247532,7319962,8109989,10309031,13146362,9249995,1849999,0.1699113762658886
175,Saint Lucia,34,19,1.4,0,103090,121633,142301,159500,170935,179237,76147,15229,0.002316565248071602
174,Samoa,22,18,3.9,-2803,142771,164905,168186,184008,194672,214929,72158,14432,0.002777869815957538
41,Saudi Arabia,32,84,2.3,134979,6106191,10171710,16004763,21547390,29411929,35997107,29890916,5978183,0.46524795163562765
70,Senegal,19,49,4.7,-20000,4367744,5703869,7536001,9704287,12530121,16436119,12068375,2413675,0.21243014605560998
100,Serbia,42,56,1.5,4000,7193533,7777010,7987529,7935022,7653748,7358005,164472,32894,0.09509921878929621
181,Seychelles,34,56,2.5,-200,54379,65290,71057,80060,92409,105530,51151,10230,0.0013639322831167455
99,Sierra Leone,19,43,4.3,-4200,2778557,3367477,4325388,4584067,6436698,8233969,5455412,1091082,0.10642069683770024
112,Slovakia,41,54,1.5,1485,4522867,4973883,5261305,5376690,5396424,5456681,933814,186763,0.0705253802195562
139,Slovenia,45,55,1.6,2000,1741286,1901570,1986024,1984339,2057286,2117641,376355,75271,0.027369647720568824
156,Solomon Islands,20,23,4.4,-1600,172833,233668,324171,429978,540394,691191,518358,103672,0.008933362254332859
69,Somalia,17,47,6.1,-40000,3720977,5892224,6999096,8721465,12026649,16537016,12816039,2563208,0.2137341987000678
25,South Africa,28,67,2.4,145405,22368306,29463549,39877570,46813266,51784921,58801927,36433621,7286724,0.75999096507888
28,South Korea,44,82,1.1,11731,32601143,38170501,44120039,46788591,48813042,51844690,19243547,3848709,0.6700715095155871
84,South Sudan,19,25,4.7,-174200,3342410,4192011,4750817,6114440,9714419,10606227,7263817,1452763,0.13708116561512812
30,Spain,45,80,1.3,40000,33792617,37491666,38889889,40741651,46572772,47363807,13571190,2714238,0.6121579211466966
56,Sri Lanka,34,18,2.2,-97986,12388769,14943645,17204094,18776371,20668557,21715079,9326310,1865262,0.28065855470985024
32,Sudan,20,35,4.4,-50000,11305206,16673586,21090886,26298773,33739933,44440486,33135280,6627056,0.5743751874613642
159,Suriname,29,65,2.4,-1000,379918,375112,412756,478998,546080,607065,227147,45429,0.007846067956507791
86,Sweden,41,88,1.9,40000,8027702,8311763,8548406,8871043,9381729,10368969,2341267,468253,0.13401470256549566
97,Switzerland,43,74,1.5,52000,6181227,6319113,6711693,7182059,7822435,8638613,2457386,491477,0.11165055578557755
59,Syria,26,60,2.8,-427391,6319199,8898954,12408996,16307654,22337563,20772595,14453396,2890679,0.2684773327452809
55,Taiwan,42,79,1.2,30001,14957870,18100281,20586174,22194731,23083083,23821464,8863594,1772719,0.30788272321333615
93,Tajikistan,22,27,3.6,-20000,2993019,4045965,5417860,6272998,7621779,9543207,6550188,1310038,0.12334206492718382
23,Tanzania,18,37,4.9,-40076,13618192,19297659,26206012,34463704,45110527,61704518,48086326,9617265,0.7975057719544993
20,Thailand,40,51,1.5,19444,35791728,45737753,55228410,63066603,68270489,71475664,35683936,7136787,0.9237938556505769
147,Timor-Leste,21,33,4.1,-5385,554021,642224,758106,878360,1088486,1299995,745974,149195,0.016801906077801132
98,Togo,19,43,4.4,-2000,2197383,2838110,3875947,5008035,6571855,8442580,6245197,1249039,0.10911690907605205
182,Tonga,22,24,3.6,-800,86484,96708,98727,102603,107383,105254,18770,3754,0.0013603650954910446
144,Trinidad and Tobago,36,52,1.7,-800,988890,1127852,1266518,1332203,1410296,1518147,529257,105851,0.019621431856503724
77,Tunisia,33,70,2.2,-4000,5047404,6578156,8440023,9893316,10895063,12161723,7114319,1422864,0.15718531808986483
18,Turkey,32,76,2.1,283922,35540990,44089069,54324142,64113547,73195345,84135428,48594438,9718888,1.0874161508864262
108,Turkmenistan,27,53,2.8,-5000,2201432,2862903,3720278,4569132,5267970,6250438,4049006,809801,0.08078436626380806
33,Uganda,17,26,5.0,168694,10317212,13284026,17586630,24020697,32341728,44404611,34087399,6817480,0.5739115176929874
34,Ukraine,41,69,1.4,10000,47279086,49973920,51589817,48879755,45683020,43909666,-3369420,-673884,0.5675145550864563
94,United Arab Emirates,33,86,1.4,40000,298084,1014048,1900151,3275333,8481771,9287289,8989205,1797841,0.12003442897503115
21,United Kingdom,40,83,1.8,260650,55650166,56326328,57210442,58850043,62760039,67059474,11409308,2281862,0.8667163979667207
3,United States,38,83,1.8,954806,200328340,223140018,248083732,282398554,311182845,335942003,135613663,27122733,4.3419136088941785
125,Uruguay,36,96,2.0,-3000,2790265,2953750,3117012,3292224,3352651,3429086,638821,127764,0.04431954038646516
42,Uzbekistan,28,50,2.4,-8863,12011361,15947129,20579100,24925554,28614227,33526656,21515295,4303059,0.43331837831279957
168,Vanuatu,21,24,3.8,120,87019,118156,150882,192074,245453,311685,224666,44933,0.004028401721436964
15,Vietnam,32,38,2.1,-80000,41928849,52968270,66912613,79001142,87411012,96648685,54719836,10943967,1.2491449027980779
160,Western Sahara,28,87,2.4,5582,76371,116775,178529,270375,413296,556048,479677,95935,0.007186694003245524
46,Yemen,20,38,3.8,-30000,6843607,9204938,13375121,18628700,24743946,32284046,25440439,5088088,0.41725814999550875
64,Zambia,18,45,4.7,-8000,4281671,5720438,7686401,9891136,13792086,18927715,14646044,2929209,0.24463300989418243
72,Zimbabwe,19,38,3.6,-116858,5202918,7049926,10113893,11834676,12839771,15669666,10466748,2093350,0.20252405309444557
